216
1	43.5
2	32.9
3	281.1
4	299.9
5	297.6
6	25
7	10.1
8	6.9
9	23.8
10	146.9
11	117.8
12	238.6
13	319
14	232.4
15	147
16	237.5
17	297.4
18	88.7
19	48.8
20	152.6
21	182.9
22	315.7
23	250.6
24	96.1
25	297.7
26	19.1
27	56.9
28	140.9
29	93.8
30	89.8
31	33.3
32	119.1
33	181.3
34	239.2
35	269.1
36	59.5
37	170.4
38	280.6
39	135.6
40	188.5
41	220.2
42	117.5
43	2
44	86
45	68
46	366.5
47	213.5
48	149.7
49	117.9
50	152.2
51	217.8
52	152
53	210.5
54	92.8
55	107
56	53.3
57	166.9
58	360.5
59	204.5
60	38.3
61	48.2
62	92.3
63	60.4
64	278.9
65	54.9
66	196.7
67	75.5
68	178.4
69	164.8
70	154.7
71	419.7
72	146.4
73	386.9
74	195.4
75	228.4
76	117.6
77	95.9
78	55.6
79	121.2
80	134
81	140.4
82	145.5
83	219.9
84	237.4
85	171.1
86	271.9
87	161.9
88	189.3
89	77.3
90	37.4
91	83
92	54.1
93	87.7
94	286.9
95	170.3
96	155.8
97	26
98	70.6
99	184.2
100	180.9
101	194.7
102	45.9
103	58
104	67
105	173
106	131
107	262
108	216
109	31
110	141
111	82
112	163
113	119
114	45
115	34.5
116	13.4
117	96.7
118	129.5
119	213
120	299
121	159
122	139
123	148
124	327
125	165
126	50
127	22
128	13.5
129	128
130	194
131	64.2
132	26.2
133	26.8
134	10.8
135	23.5
136	30
137	47
138	6.6
139	1.9
140	1.7
141	22.8
142	17.5
143	21
144	16.4
145	47
146	40
147	176
148	347
149	112
150	72
151	86
152	26
153	27
154	258
155	179.3
156	290.7
157	173
158	213
159	361
160	148
161	130
162	152
163	46
164	139
165	133
166	194
167	188
168	223.4
169	209.4
170	92
171	220
172	276
173	198
174	321
175	0.4
176	0
177	155
178	122
179	466
180	143
181	28
182	13.9
183	20.8
184	239
185	286
186	15
187	66
188	168
189	224
190	226
191	302
192	98
193	250
194	318
195	271
196	284.9
197	138
198	137.3
199	9.9
200	32.8
201	188
202	208
203	330.5
204	116.8
205	196.5
206	247
207	237.3
208	256
209	224.3
210	179
211	86
212	83
213	174.6
214	218.9
215	163.8
216	115.7
